ExecutionId,Report Name,TimeStart,UserName,Full Name,State,Role,Interactions
1e3ac7ab-616a-439c-b4d1-4201a88cbe17,Management Dashboard,15/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,29
7ea6f91a-3ac3-484f-98bc-ddb7db842050,Operations Dashboard,15/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,32
fb5b73f9-8355-433f-abe0-b00057e04164,Management Dashboard,15/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,90
f68b40b1-1c7c-494a-bb46-e68f4d0eb8c0,Operations Dashboard,15/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,65
2926737f-1ec6-4314-bbcc-96bab0f0c9e4,Client Engagement Dashboard,15/04/2025,user17@company.com,Walter Pratt,New South Wales,Reporting Staff,40
11722bf9-f52b-4b60-b5cb-ed6ad898756f,Financial Dashboard,15/04/2025,user32@company.com,Whitney Stark,Queensland,Reporting Staff,27
a2b46df8-c99a-4475-896f-37ebfb2d585d,Client Engagement Dashboard,14/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,78
0c69abd5-6de9-43d1-a12a-939332a17b4c,Financial Dashboard,14/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,36
b83e874c-df82-4443-9252-8293fb98c2c2,Management Dashboard,14/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,30
bf3d9a20-14da-46cb-adab-3f8f64fd3268,Management Dashboard,14/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,41
12d975c7-e9ab-4e27-b52c-510b5980c92a,Management Dashboard,14/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,42
2cfca49c-d298-4f06-9d3e-e4b0fcae04f0,Management Dashboard,14/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,90
67dbe682-4ef5-4d4f-a2d0-e4ba44f4bcb1,Operations Dashboard,14/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,32
10733f6f-3c3c-4b6e-98bc-186b95940a47,Client Engagement Dashboard,14/04/2025,user16@company.com,Cheryl Bradley,Victoria,Support Staff,80
8766ac28-3466-45a4-98a4-57ea066a021f,Management Dashboard,14/04/2025,user16@company.com,Cheryl Bradley,Victoria,Support Staff,74
0467bb23-c09e-4a31-b1ec-f74caa005f4a,Management Dashboard,14/04/2025,user24@company.com,Collin Lopez,Western Australia,Planners,37
535e43fc-dfc1-4b61-abc3-723b0b84764a,Operations Dashboard,14/04/2025,user24@company.com,Collin Lopez,Western Australia,Planners,49
e30b1b5a-3b85-430d-b5e2-b95abba3d732,Client Engagement Dashboard,14/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,33
59449785-96fe-404e-9d20-2614f235d4bb,Client Engagement Dashboard,14/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,55
41e48519-3e19-4a9d-b093-01ccdc22dd3c,Management Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,41
f85a06f2-926f-429a-b1a5-f1b75cfc3605,Management Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,85
bf6fae94-d081-4ea5-ad7a-b28e61defc81,Management Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,57
7bacb455-dab8-455d-b4a8-e65c908444a7,Operations Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,28
ae941504-85d0-4e58-b72e-8a0358e2c35c,Management Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,33
f7189fed-a435-4a2a-9f0e-258e21c01677,Client Engagement Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,13
2f95a575-84f6-4360-bff3-488f9216ec7e,Operations Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,2
43dba6a7-a2d3-4d61-866c-0be1062bd581,Financial Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,42
2605eec0-cdcf-4426-b9fb-6b1d650d01d7,Operations Dashboard,14/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,34
fdb1df43-0b8b-49ad-932d-028ee4036e38,Operations Dashboard,14/04/2025,user23@company.com,Janice Johnston,ACT,Support Staff,26
3d0734e8-0f3e-470c-91d6-9acb9189fe90,Management Dashboard,14/04/2025,user13@company.com,Jennifer Summers,New South Wales,Support Staff,19
bb6a0b6a-b41d-4c2a-93c3-073044c71662,Management Dashboard,14/04/2025,user13@company.com,Jennifer Summers,New South Wales,Support Staff,16
8c07ce49-ab5c-4b97-b548-d587914b395c,Client Engagement Dashboard,14/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,32
dd2a2b8e-01ff-4ac0-ae9e-4bd084b43b66,Operations Dashboard,14/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,26
4ffb9d6a-c8aa-459d-88e2-fdef36645620,Management Dashboard,14/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,34
3b4ccaa1-2168-4872-9903-05fa3f61d226,Operations Dashboard,14/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,26
4648c0c4-b984-49d3-a5f4-31fe032a7c1b,Management Dashboard,14/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,42
30b3675a-0dee-41d9-8f1a-3d1836919e92,Client Engagement Dashboard,14/04/2025,user38@company.com,Kenneth Kent,Western Australia,Management,28
97a419a3-90a4-411c-a435-d21311dcca22,Client Engagement Dashboard,14/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,14
f3e61fcb-00f2-4556-8b6a-b06d016e8921,Management Dashboard,14/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,26
7932609c-9f3d-445d-8307-67191aa710b8,Client Engagement Dashboard,14/04/2025,user28@company.com,Kimberly Myers,ACT,Planners,25
a305b99c-a23b-495f-bf98-9135e7ad9fbf,Management Dashboard,14/04/2025,user28@company.com,Kimberly Myers,ACT,Planners,5
223c76a0-29c7-4f01-8b86-b81de89d0552,Client Engagement Dashboard,14/04/2025,user28@company.com,Kimberly Myers,ACT,Planners,297
86cb6f43-09a3-4a2e-a07e-a1f5062b2d54,Client Engagement Dashboard,14/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,21
6fa7190a-320e-4731-862f-9010c78d1a32,Client Engagement Dashboard,14/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,27
d84a0cca-3e1d-4863-9466-d483d1e025c8,Management Dashboard,14/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,2
2abd0ce2-6901-4bee-95c3-49afeef3c019,Client Engagement Dashboard,14/04/2025,user31@company.com,Lauren Hayes,Victoria,Support Staff,37
ec1f46e9-3aaf-4f45-8ebe-b769e50be8d4,Management Dashboard,14/04/2025,user22@company.com,Laurie Wallace,Queensland,Reporting Staff,18
28790eac-5659-4cec-b170-8abbf0d873a5,Client Engagement Dashboard,14/04/2025,user22@company.com,Laurie Wallace,Queensland,Reporting Staff,3
af7ed92e-1126-4815-832e-2c6587fee4e2,Client Engagement Dashboard,14/04/2025,user39@company.com,Melanie Johnson,South Australia,Support Staff,30
6e3bb7d5-c4dd-4750-b417-d12b993d660d,Client Engagement Dashboard,14/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,25
3e7b2325-cd31-470c-8c95-983c0374274c,Client Engagement Dashboard,14/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,36
4988bdda-7d38-4749-b632-24b335d9b4a5,Management Dashboard,14/04/2025,user1@company.com,Norma Fisher,Victoria,Reporting Staff,30
95b9c084-5e93-4a77-b34d-5ebd33a8afa5,Management Dashboard,14/04/2025,user1@company.com,Norma Fisher,Victoria,Reporting Staff,14
a7b96c59-a0b4-4694-a90b-aa4b1b72b12d,Management Dashboard,14/04/2025,user26@company.com,Peter Mcdowell,Victoria,Support Staff,18
8eab2559-d181-4008-9389-0b706e0d3a30,Management Dashboard,14/04/2025,user26@company.com,Peter Mcdowell,Victoria,Support Staff,41
3d5fbd81-b12d-45fa-b500-8209bc7f9f56,Management Dashboard,14/04/2025,user11@company.com,Sean Green,Victoria,Management,29
ae98d852-1a20-4e29-9ce7-bd3793389c96,Financial Dashboard,14/04/2025,user11@company.com,Sean Green,Victoria,Management,13
e13503b2-c711-4e26-b7d5-217a786a9bea,Client Engagement Dashboard,14/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,13
ed3245ce-1cd3-4b4f-8b02-3ea723ad0894,Operations Dashboard,14/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,136
701fa6df-54fb-4a9a-a8e4-c190c5a814b3,Management Dashboard,14/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,123
3d111586-6ef7-4432-bed0-078d142d4a7b,Client Engagement Dashboard,14/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,298
9d7decf9-3855-42eb-9133-1a3b41bb72ef,Management Dashboard,14/04/2025,user30@company.com,Stephanie Lawrence,South Australia,Enablement,17
09dbc0d6-9cbd-42b5-b0af-b0e52e2621fa,Client Engagement Dashboard,14/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,23
a3d1a3cb-c30b-4402-8bf0-ab92e11052bc,Operations Dashboard,14/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,42
ae626e02-5372-4015-8bc2-fc516145d6c3,Financial Dashboard,14/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,38
6077dada-32e0-4cba-9007-d37468c18606,Client Engagement Dashboard,14/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,41
af672b5d-e3f1-420e-92cc-a20ca89a5cf5,Management Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,16
607c1f79-1f2e-42f2-a819-310b90052b64,Client Engagement Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,8
66e8da46-6ab0-4cff-a007-1381c9706763,Operations Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,27
31bfbddb-a916-46ea-a4a0-bc67b993fdb8,Client Engagement Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,42
fdf16451-8b88-47d9-ba39-5d4c746bfcfb,Operations Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,7
fcbf356a-6566-49a2-93ae-ddfcf856d0ac,Management Dashboard,14/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,35
7fbb09e9-3f74-4571-9a57-33ae9f8c7dd1,Client Engagement Dashboard,14/04/2025,user19@company.com,Tasha Rodriguez,New South Wales,Management,21
6bf5861e-389a-40b8-a3e7-50cb06587276,Operations Dashboard,14/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,29
fa1ee0ad-f338-4839-aca3-bb72945056d8,Management Dashboard,14/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,33
a7ef64a2-8afd-49b3-8f88-04f6dc9b2af6,Operations Dashboard,14/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,23
937b7a24-a118-4f3e-a76d-21eb6996c931,Operations Dashboard,14/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,25
c0b79d12-1a84-4100-b529-44c54f9db60e,Financial Dashboard,14/04/2025,user17@company.com,Walter Pratt,New South Wales,Reporting Staff,10
8cf086fd-f773-4c46-82a6-b93ecf319793,Operations Dashboard,14/04/2025,user17@company.com,Walter Pratt,New South Wales,Reporting Staff,27
f8ef5533-c9d9-4c11-ad30-b056c59b46f6,Client Engagement Dashboard,14/04/2025,user32@company.com,Whitney Stark,Queensland,Reporting Staff,24
583bebb4-7757-4945-9603-4bbaa1f707b2,Management Dashboard,14/04/2025,user32@company.com,Whitney Stark,Queensland,Reporting Staff,24
22bf024e-5efc-4847-9acf-cbffef377df2,Management Dashboard,14/04/2025,user32@company.com,Whitney Stark,Queensland,Reporting Staff,39
1cacdf6a-bff2-4b42-91f8-1eadf361271d,Management Dashboard,13/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,25
9719ec94-a428-417d-bbf3-2435fdce8e17,Management Dashboard,13/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,32
a6ca6b64-10c6-421e-8543-d1ee7bb4d394,Client Engagement Dashboard,13/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,5
3276d222-11a4-44fe-9868-c0c4a95d3540,Client Engagement Dashboard,13/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,3
4acc3136-61b2-48d0-9825-5949409f72d1,Client Engagement Dashboard,13/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,16
9f8da46a-fb21-4363-adaa-106782726f59,Client Engagement Dashboard,13/04/2025,user13@company.com,Jennifer Summers,New South Wales,Support Staff,37
8fac8da8-5958-4c86-ac4f-8b7d9440bcab,Management Dashboard,13/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,44
821914c1-cf84-47b9-aa78-9bffa6abe7cb,Operations Dashboard,13/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,49
fb0939c9-34e6-49c8-8eb1-5dfbd5d49448,Management Dashboard,13/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,57
f7403fd8-3114-4d6a-ad74-23c64e47afa9,Management Dashboard,13/04/2025,user28@company.com,Kimberly Myers,ACT,Planners,185
160bf844-1ea6-425d-a895-32793eab6fb2,Management Dashboard,13/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,4
ae917482-295e-40d6-9134-1425579f07a1,Client Engagement Dashboard,13/04/2025,user25@company.com,Mary Alvarez,New South Wales,Support Staff,27
bc18d08f-b36a-4ab5-b45f-7032f87865be,Client Engagement Dashboard,13/04/2025,user39@company.com,Melanie Johnson,South Australia,Support Staff,24
65baa2fe-adb1-4626-af9a-96324f38530f,Financial Dashboard,13/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,38
14c3757f-8f12-4816-ac13-d48802b5c748,Client Engagement Dashboard,13/04/2025,user1@company.com,Norma Fisher,Victoria,Reporting Staff,8
b058c7d1-29ae-42bc-b0a6-851c7f0631ee,Client Engagement Dashboard,13/04/2025,user1@company.com,Norma Fisher,Victoria,Reporting Staff,6
7ad3711e-609a-4130-ab1d-64230bfe2856,Client Engagement Dashboard,13/04/2025,user26@company.com,Peter Mcdowell,Victoria,Support Staff,26
f0a95327-e50f-44f6-b53f-f139d3bca8f0,Management Dashboard,13/04/2025,user26@company.com,Peter Mcdowell,Victoria,Support Staff,13
de668c39-5252-44bf-bbaf-897da9ba69b1,Client Engagement Dashboard,13/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,14
69a151f8-90ee-4272-9fc7-cd7e1665cb4a,Scorecard Dashboard,13/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,20
bdc7ef76-9059-4fb0-b036-79752e3b9ef3,Operations Dashboard,13/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,35
08d8f688-6aab-402b-8132-39b3a39f96d9,Scorecard Dashboard,13/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,37
3d14f408-494d-4fc6-ab64-0d7fad30fac1,Scorecard Dashboard,13/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,10
2644b05e-b11b-49a1-8d0d-424546a4dd53,Management Dashboard,13/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,29
23caa3e6-3ab5-40c1-b3ad-02d054b54134,Client Engagement Dashboard,13/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,24
b501218d-bf71-482c-9010-58c4002179dd,Operations Dashboard,13/04/2025,user6@company.com,Theodore Mcgrath,Queensland,Support Staff,5
2d89a53b-15f3-4ade-8daf-ee01477d0694,Operations Dashboard,13/04/2025,user17@company.com,Walter Pratt,New South Wales,Reporting Staff,33
5d47da51-75c5-4a5d-b372-bd46f5a89ac7,Operations Dashboard,12/04/2025,user14@company.com,April Snyder,Queensland,Reporting Staff,26
d14dc137-d013-4bcf-a97c-6069e7148278,Client Engagement Dashboard,12/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,35
2da648b2-44c2-4a55-b7d7-3a0cb9671338,Management Dashboard,12/04/2025,user18@company.com,Bobby Flores,Tasmania,Planners,87
478f5e02-aedb-4b27-8c45-0633e0563391,Management Dashboard,12/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,14
329f71fb-7c57-45a3-bd89-c24da7cba7ed,Operations Dashboard,12/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,31
6d5c8154-b023-4c08-842e-33e2127d526a,Client Engagement Dashboard,12/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,9
920572e9-f001-4504-a3e2-2a9ecdda0917,Management Dashboard,12/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,22
c59895e1-a6dd-43a0-89e8-91cb583ba1e2,Client Engagement Dashboard,12/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,7
352137cf-b8db-4bd5-ac36-b007163cc62a,Operations Dashboard,12/04/2025,user23@company.com,Janice Johnston,ACT,Support Staff,11
c1ab694d-709c-408d-8c0c-481f31fe6987,Operations Dashboard,12/04/2025,user13@company.com,Jennifer Summers,New South Wales,Support Staff,27
e75f6bb9-a377-4526-aadd-49472a0b9258,Client Engagement Dashboard,12/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,19
cc06d5a2-1d33-4672-9fd0-65f43f529666,Management Dashboard,12/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,12
6998b523-71d7-4521-9f0e-0d38a27ff7b3,Management Dashboard,12/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,14
c1482c3b-9f9d-4163-9e94-d6c664810fb6,Management Dashboard,12/04/2025,user20@company.com,Michelle Kelley,Western Australia,Planners,39
a16d82e4-d5bb-4b03-aafb-ce1ecf2789c7,Operations Dashboard,12/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,18
3ef69ca0-0063-4b02-9cf7-8ce023a0e8c0,Management Dashboard,12/04/2025,user1@company.com,Norma Fisher,Victoria,Reporting Staff,39
7fef3a50-40fd-4069-b482-b4b1610acf98,Operations Dashboard,12/04/2025,user11@company.com,Sean Green,Victoria,Management,39
b3c8aefa-e159-4c37-b31d-d647fe79d151,Management Dashboard,12/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,122
472676fd-8d73-41de-9699-c2fe924e1739,Client Engagement Dashboard,12/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,294
9d672c6d-f883-4a89-9f4d-ce8d223f958b,Management Dashboard,12/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,14
8c1ce58c-0e03-4f18-9694-a84fc82f9ed5,Management Dashboard,12/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,40
efadfc12-817b-4124-b1cc-796c03f81ee4,Operations Dashboard,12/04/2025,user8@company.com,Stephanie Sutton,Victoria,Enablement,18
2aaf7033-d1f3-4f32-9eba-51aa02b8e36d,Management Dashboard,12/04/2025,user4@company.com,Susan Wagner,New South Wales,Planners,24
57d60499-785c-4cf4-8e70-d21097b60d97,Operations Dashboard,12/04/2025,user17@company.com,Walter Pratt,New South Wales,Reporting Staff,30
d5a0c341-2982-499f-93d3-da4552f4e1f5,Scorecard Dashboard,11/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,13
bf2cfde7-352a-491a-b2d0-4a46ebf5d3ab,Client Engagement Dashboard,11/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,24
2aa7079a-b295-43e6-9f84-1c694bb8b3c0,Client Engagement Dashboard,11/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,16
8cf0ff9e-85c8-4189-96e2-e8633199d4ac,Operations Dashboard,11/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,22
abe06f21-acd6-4867-ab5b-7351978bf212,Management Dashboard,11/04/2025,user16@company.com,Cheryl Bradley,Victoria,Support Staff,34
edf1b93a-ac0f-4b5b-9d7b-a4e3cc45ef09,Operations Dashboard,11/04/2025,user24@company.com,Collin Lopez,Western Australia,Planners,42
83f6aae7-6435-430b-9891-d4a848848ec2,Client Engagement Dashboard,11/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,34
ebadea46-ce97-4633-8fc9-6a37d0f3de9e,Financial Dashboard,11/04/2025,user15@company.com,Dana Nguyen,New South Wales,Planners,27
db92ad84-62d7-4728-be17-70a487dbd465,Client Engagement Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,36
f6154cd4-3883-4dcb-a187-db3507c2df95,Management Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,2
2f8e488c-1874-4168-9be5-5eb56fc123b7,Management Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,37
4814776a-3e0a-464a-a553-46d2bf312a22,Management Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,21
a1c4916c-e0e9-4a64-8e10-b3b634882cbb,Operations Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,22
f478a3b4-5210-4960-b219-b1a7737600f5,Operations Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,25
bc7a35fc-8641-486f-bf71-98f33825fdb9,Management Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,24
81ab5076-bde8-4e26-bb73-2b4ac5302b0e,Management Dashboard,11/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,27
20035fcd-d17e-4725-a350-60f5898b939c,Management Dashboard,11/04/2025,user23@company.com,Janice Johnston,ACT,Support Staff,22
79041e2e-84d8-4586-a937-4f6b2f30e6ca,Client Engagement Dashboard,11/04/2025,user13@company.com,Jennifer Summers,New South Wales,Support Staff,9
c75545bc-e2dc-40de-966d-59fe2a6d2ef5,Management Dashboard,11/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,26
9b524197-1540-4d36-8a3f-c7f861902f66,Financial Dashboard,11/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,14
bc7a323a-b229-4bd8-b5ad-201a8ad8abcd,Management Dashboard,11/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,36
24eb617e-64af-440b-8028-5524fa8809da,Operations Dashboard,11/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,30
8152f44d-421f-4964-997f-a666706a11c3,Management Dashboard,11/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,14
42d25b93-48a1-4bbf-8677-e42e858ae7a0,Financial Dashboard,11/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,3
884cdb0c-b53f-4255-8145-4a0ac875a4b1,Operations Dashboard,11/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,2
efe95bb2-91cf-43fc-9afa-be319995aac2,Client Engagement Dashboard,11/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,32
a2d48c2a-791b-42b5-9f11-49fe79c7be88,Management Dashboard,11/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,28
3c5b57df-1f57-4b06-b310-9bc964bf2d4a,Financial Dashboard,11/04/2025,user12@company.com,Kimberly Smith,Western Australia,Planners,25
63c2eb48-8ec2-45ef-b934-21e09884d7c8,Management Dashboard,11/04/2025,user31@company.com,Lauren Hayes,Victoria,Support Staff,8
d7522890-078b-4172-9c7d-ac062478b7a0,Management Dashboard,11/04/2025,user22@company.com,Laurie Wallace,Queensland,Reporting Staff,5
85c766c7-696b-4c65-bd8f-19fe03c5e0e8,Operations Dashboard,11/04/2025,user22@company.com,Laurie Wallace,Queensland,Reporting Staff,29
2d879847-abf9-4568-849c-3ae788a72068,Financial Dashboard,11/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,25
1f82b734-908e-4ae9-b633-7f0fd15c7ba4,Management Dashboard,11/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,47
8a1c8d4d-3bb7-4264-a7ac-800c672eab1f,Management Dashboard,11/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,46
d38a83ce-686c-4783-a6f9-48d12c8e2993,Operations Dashboard,11/04/2025,user25@company.com,Mary Alvarez,New South Wales,Support Staff,40
e6aaa9b5-df03-4a53-b356-e26736d3e338,Operations Dashboard,11/04/2025,user20@company.com,Michelle Kelley,Western Australia,Planners,63
61a83bc5-5be2-4f35-a4ad-ad4302ee598d,Management Dashboard,11/04/2025,user20@company.com,Michelle Kelley,Western Australia,Planners,39
56f99b87-2aaa-4443-9906-fe2c314e9760,Scorecard Dashboard,11/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,28
fbd4c45d-f9f9-4657-a2b7-32310f174fa4,Operations Dashboard,11/04/2025,user34@company.com,Ryan Sanchez,New South Wales,Reporting Staff,39
